"구분","오염원","d15N","d18O","Step1_Pass","ModZ_d15N","ModZ_d18O","Step2_Pass","MCD_Distance","Step3_Pass"
"농업계","농배수로",6.24,-0.86,TRUE,0.0755308801205594,0.883314885341038,TRUE,1.18906758650751,TRUE
"농업계","논토양 물",9.96,1.73,TRUE,0.637480628217521,0.594087887486008,TRUE,0.807299084914924,TRUE
"농업계","밭토양",6.11,-2.46,TRUE,0.055892851289214,1.06198793420901,TRUE,1.6955212902878,TRUE
"농업계","밭토양",3.42,-1.89,TRUE,0.350463283759396,0.998335660549795,TRUE,1.72793077813239,TRUE
"농업계","밭토양",9.88,-1.32,TRUE,0.625395687398232,0.93468338689058,TRUE,1.52391588330621,TRUE
"농업계","밭토양",9.18,-0.33,TRUE,0.519652455229448,0.824129437903522,TRUE,1.16959991549366,TRUE
"농업계","밭토양",18.7,-1.07,TRUE,1.9577604127249,0.906765723004959,TRUE,4.20180169679131,TRUE
"농업계","밭토양",4.6,-2.17,TRUE,0.172210406674875,1.02960344410169,TRUE,1.68694084544663,TRUE
"농업계","밭토양",7.71,-1.6,TRUE,0.297591667675004,0.965951170442475,TRUE,1.42433097765189,TRUE
"농업계","논토양",-2.78,-3.8,TRUE,1.28704619725433,1.21162661263594,TRUE,4.10505623312825,TRUE
"농업계","논토양",4.44,0.91,TRUE,0.196380288313454,0.685657825030843,TRUE,0.826149908763055,TRUE
"농업계","논토양",1.83,-3.68,TRUE,0.590651482542774,1.19822613397084,TRUE,2.65589981016203,TRUE
"농업계","논토양",4.32,-4.53,TRUE,0.214507699542389,1.29314619118195,TRUE,2.60772633628105,TRUE
"농업계","논토양",2.83,-1.1,TRUE,0.439589722301656,0.910115842671234,TRUE,1.56422953708512,TRUE
"농업계","논토양",1.06,-4.8,TRUE,0.706969037928436,1.32329726817842,TRUE,3.29883544816384,TRUE
"농업계","논유출수",-0.92,45.56,TRUE,1.00607132320585,4.30043694494101,FALSE,NA,FALSE
"농업계","농배수로",3.17,0.38,TRUE,0.388228723819675,0.744843272468359,TRUE,1.09952031516618,TRUE
"농업계","농배수로",3.41,1.41,TRUE,0.351973901361807,0.629822497259602,TRUE,0.825024806480272,TRUE
"농업계","농배수로",4.72,3.96,TRUE,0.154082995445941,0.345062325626271,TRUE,0.262086609364405,TRUE
"농업계","농배수로",8.22,5.43,TRUE,0.374633165397975,0.180906461978822,TRUE,0.151868342414474,TRUE
"농업계","퇴비(과수원 시비)",12.8,-1.16,TRUE,1.0664960273023,0.916816082003783,TRUE,2.03296198873244,TRUE
"농업계","논",8.07,5.95,TRUE,0.351973901361807,0.122837721096731,TRUE,0.11164913002692,TRUE
"농업계","논",11.58,25.48,TRUE,0.882200679808134,2.05809018164796,TRUE,6.55610020482433,FALSE
"농업계","밭",20.35,-4.02,TRUE,2.20701231712275,1.23619415685528,TRUE,5.96061966051085,TRUE
"농업계","비닐하우스",7.09,2.76,TRUE,0.20393337632551,0.479067112277251,TRUE,0.386222930572186,TRUE
"농업계","과수원",0.17,4.79,TRUE,0.841414004543032,0.252375681526011,TRUE,0.886234587323902,TRUE
"농업계","밭",11.45,-2.44,TRUE,0.862562650976788,1.05975452109816,TRUE,2.12070254757122,TRUE
"농업계","밭",8.62,1.91,TRUE,0.435057869494422,0.573987169488361,TRUE,0.619915909893536,TRUE
