spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source,TN/TP,TOC/TN,Cl/TN,d15N/d18O,NH3N/NO3N,NO3N/Cl
JS-31,15.3,7.4,10.0,1.2,156.0,2.207,2.164,1.898333333,0.031,0.075,0.049,0.045,2.4,10.34766667,7.59,5.01,토양-질소 기원,29.426666666666666,1.0874490258269145,4.688566683280472,1.5149700598802396,0.016330114138073767,0.18345520720179906
JS-32,13.7,7.3,8.2,1.5,196.0,2.498,2.445,2.124666667,0.051,0.074,0.047,0.042,2.9,15.446,9.95,3.7,생활하수/처리수 영향,33.75675675675676,1.1609287429943953,6.183346677341873,2.689189189189189,0.024003765292751212,0.1375544909361647
JS-33,15.6,7.2,9.6,3.3,271.0,3.05,2.997,2.149333333,0.447,0.117,0.052,0.047,3.6,28.462,10.21,2.8,생활하수/처리수 영향,26.068376068376065,1.1803278688524592,9.331803278688525,3.646428571428572,0.20797146405210476,0.07551589252336449
JS-34,14.5,7.8,9.7,1.5,154.0,2.23,2.155,1.889666667,0.035,0.068,0.041,0.035,2.6,10.69966667,7.58,4.32,토양-질소 기원,32.79411764705882,1.1659192825112108,4.798056802690582,1.7546296296296295,0.01852178514402509,0.17660986321174807
JS-35,14.2,7.6,7.4,2.0,333.0,4.36,4.301,3.714333333,0.088,0.146,0.095,0.09,4.9,26.26333333,12.01,5.67,생활하수/처리수 영향,29.86301369863014,1.1238532110091743,6.023700305045871,2.1181657848324513,0.023692003950793503,0.14142657698203157
JS-36,15.1,8.5,10.8,1.6,240.0,2.437,2.364,2.045,0.034,0.094,0.053,0.044,3.0,12.32533333,8.58,4.87,생활하수/처리수 영향,25.925531914893615,1.2310217480508823,5.057584460402134,1.7618069815195072,0.01662591687041565,0.16591843362340936
JS-1,16.0,6.6,10.4,1.3,105.0,0.941,0.883,0.711,0.023,0.022,0.015,0.004,1.5,9.155,3.78,2.01,토양-질소 기원,42.77272727272727,1.5940488841657812,9.729011689691816,1.8805970149253732,0.03234880450070324,0.07766247951938832
JS-2,16.7,6.7,10.1,1.3,72.0,0.946,0.915,0.752,0.022,0.023,0.012,0.003,1.6,4.715,4.27,2.37,토양-질소 기원,41.130434782608695,1.6913319238900637,4.984143763213531,1.80168776371308,0.029255319148936167,0.15949098621420998
JS-3,16.4,6.2,10.6,1.3,87.0,0.99,0.923,0.761,0.028,0.024,0.013,0.003,1.6,6.377,4.5,2.29,토양-질소 기원,41.25,1.6161616161616164,6.441414141414141,1.965065502183406,0.03679369250985545,0.11933511055355184
JS-4,16.4,6.5,10.4,1.1,63.0,0.673,0.638,0.497,0.029,0.02,0.012,0.0,1.8,4.254,2.41,2.35,토양-질소 기원,33.65,2.674591381872214,6.3209509658246645,1.025531914893617,0.05835010060362173,0.11683121767748003
JS-5,16.9,6.3,9.8,1.3,83.0,0.982,0.909,0.722,0.052,0.031,0.019,0.005,2.0,6.103,4.56,2.99,토양-질소 기원,31.677419354838708,2.0366598778004072,6.214867617107942,1.5250836120401334,0.07202216066481994,0.11830247419301983
JS-6,17.0,6.5,10.5,1.7,90.0,1.052,1.001,0.815,0.03,0.038,0.025,0.012,1.7,5.926,5.95,2.46,토양-질소 기원,27.68421052631579,1.6159695817490494,5.633079847908745,2.41869918699187,0.03680981595092025,0.13752953088086398
JS-7,16.9,6.2,9.5,1.3,85.0,1.059,0.98,0.782,0.045,0.036,0.022,0.007,2.2,6.095,5.22,3.37,토양-질소 기원,29.416666666666668,2.0774315391879132,5.755429650613786,1.5489614243323442,0.05754475703324808,0.12830188679245283
JS-8,16.2,6.8,8.8,1.3,95.0,2.226,2.126,1.769,0.076,0.201,0.183,0.178,1.6,6.859,9.08,4.62,생활하수/처리수 영향,11.074626865671641,0.7187780772686434,3.0813117699910153,1.9653679653679654,0.04296212549462974,0.2579093162268552
JS-9,16.9,7.4,9.6,1.7,95.0,1.511,1.414,1.148,0.061,0.101,0.076,0.066,2.1,6.86,9.08,4.05,생활하수/처리수 영향,14.960396039603959,1.3898080741230974,4.5400397088021185,2.2419753086419756,0.05313588850174216,0.16734693877551018
