spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
우치,688.751,19.9,8.9,11,4.1,6.9,13.4,303,1.098,0.784,0.619,0.025,0.115,0.029,0.008,34.1,6,23000,75,35.8,9.7,11.5,생활하수/처리수 영향
광산,10.091,18.7,6.7,5.4,7.4,11.3,10.1,354,6.179,5.629,0.859,4.755,0.254,0.143,0.099,37.6,9,54000,1200,45.7,7.1,3,내생부하(정체수역 유기물 축적)
함평,20.288,19.8,7.3,7.3,4,7.8,13.8,295,3.643,3.343,1.54,1.351,0.104,0.044,0.026,14.9,7.8,1.131159306,0,33.8,9.5,2.7,생활하수/처리수 영향
무안2,88.652,15.8,7.5,5.6,3.2,8,5.8,4364,3.578,3.487,2.579,0.277,0.042,0.023,0.01,8.2,5.6,7800,58,705.9,9.7,2,생활하수/처리수 영향
고막원천4,1.052,20.6,8.5,11.3,4.7,6.8,16.6,266,1.735,1.437,1.073,0.055,0.11,0.031,0.014,25.8,6.2,77.22,0,25.8,11.4,6.6,생활하수/처리수 영향
요천3,2.081,20.2,7.8,10.2,3.2,6,8,232,2.164,2.048,1.598,0.048,0.06,0.026,0.015,18.7,5.1,48000,1,24.6,7.9,-0.4,내생부하(정체수역 유기물 축적)
오수천2,2.637,21.9,8.1,10.1,2,5.5,5.9,227,0.907,0.887,0.493,0.063,0.066,0.042,0.028,4,4.3,7100,11,22.1,8.7,4.2,생활하수/처리수 영향
죽산,0.000180118,18.7,7,6.6,6.7,9,15.3,338,4.763,4.449,1.471,2.483,0.138,0.061,0.039,14.7,7.5,6500,12,40.8,10.5,2.7,생활하수/처리수 영향
황룡강5,2.51,20.5,8.1,10.2,6,7.2,22.6,250,1.055,0.652,0.511,0.046,0.14,0.031,0.007,24,6.9,22000,350,27.5,3,3.3,토양-질소 기원
지석천4,3.506,18.6,8.4,11.5,4.7,7.1,16.3,237,3.19,2.951,2.397,0.052,0.367,0.28,0.265,27.6,6.6,22000,2500,20.2,10.4,3.2,생활하수/처리수 영향
나주,0.000188258,19.3,7.4,10.2,7.8,11.8,12.5,388,7.02,6.546,1.253,5.039,0.19,0.054,0.016,48.5,9,46000,780,49.4,6,-0.9,내생부하(정체수역 유기물 축적)
삼포천2,1.00E-06,20.7,7,8.3,4.2,8.5,62.9,414,3.408,3.04,2.096,0.453,0.195,0.06,0.043,13.9,7.1,77.22,0,65.5,9.9,2.1,생활하수/처리수 영향
